t (s),u (deg),y (deg)
0.000000,0.000000,-0.010986,-0.011292
0.000050,0.000000,-0.004883,-0.004120
0.000100,0.000000,-0.003662,0.007019
0.000150,0.000000,-0.011597,-0.010071
0.000200,0.000000,0.003662,-0.020294
0.000250,0.000000,0.006714,-0.007629
0.000300,0.000000,-0.003662,-0.007324
0.000350,0.000000,0.009766,-0.020752
0.000400,0.000000,-0.000610,0.002289
0.000450,0.000000,0.004883,-0.010681
0.000500,0.000000,0.002441,-0.011139
0.000550,0.000000,0.006714,-0.000763
0.000600,0.000000,-0.000610,-0.003815
0.000650,0.000000,0.001221,0.005493
0.000700,0.000000,-0.001221,0.018005
0.000750,0.000000,0.012207,-0.024567
0.000800,0.000000,-0.003662,0.001526
0.000850,0.000000,0.007935,0.007782
0.000900,0.000000,0.002441,-0.006256
0.000950,0.000000,-0.012817,-0.011292
0.001000,0.000000,-0.001831,-0.024719
0.001050,0.000000,0.010376,-0.016479
0.001100,0.000000,0.003052,-0.005951
0.001150,0.000000,0.004272,-0.009308
0.001200,0.000000,-0.008545,0.008392
0.001250,0.000000,-0.004272,-0.018616
0.001300,0.000000,0.003052,-0.018616
0.001350,0.000000,0.022583,-0.008087
0.001400,0.000000,-0.001221,-0.010834
0.001450,0.000000,0.013428,-0.001526
0.001500,0.000000,0.008545,0.000610
0.001550,0.000000,-0.003662,0.002441
0.001600,0.000000,-0.002441,-0.008240
0.001650,0.000000,0.017090,-0.024414
0.001700,0.000000,0.003052,-0.005493
0.001750,0.000000,0.001221,-0.002747
0.001800,0.000000,0.009155,-0.018463
0.001850,0.000000,-0.014648,-0.014648
0.001900,0.000000,0.001831,-0.007477
0.001950,0.000000,-0.004272,0.002747
0.002000,0.000000,-0.003662,-0.008545
0.002050,0.000000,0.013428,-0.008850
0.002100,0.000000,0.006104,-0.031433
0.002150,0.000000,0.015259,-0.014343
0.002200,0.000000,0.000000,0.002899
0.002250,0.000000,0.003052,-0.019226
0.002300,0.000000,0.017700,-0.023651
0.002350,0.000000,0.004883,-0.002441
0.002400,0.000000,-0.000610,0.000763
0.002450,0.000000,0.011597,-0.013580
0.002500,0.000000,-0.004883,-0.013885
0.002550,0.000000,-0.002441,-0.000153
0.002600,0.000000,0.009155,-0.008850
0.002650,0.000000,0.001831,-0.011444
0.002700,0.000000,0.010376,-0.012207
0.002750,0.000000,0.003662,-0.036163
0.002800,0.000000,0.019531,0.001984
0.002850,0.000000,0.008545,0.004578
0.002900,0.000000,0.001221,-0.014191
0.002950,0.000000,0.005493,-0.028839
0.003000,0.000000,0.004883,0.011444
0.003050,0.000000,-0.004272,-0.011444
0.003100,0.000000,0.001831,-0.023041
0.003150,0.000000,0.003662,-0.018005
0.003200,0.000000,0.008545,0.010223
0.003250,0.000000,-0.008545,-0.026855
0.003300,0.000000,0.003052,-0.024261
0.003350,0.000000,0.006714,-0.012512
0.003400,0.000000,0.000000,-0.022278
0.003450,0.000000,-0.006714,-0.008698
0.003500,0.000000,-0.009155,-0.011139
0.003550,0.000000,-0.004883,-0.003204
0.003600,0.000000,-0.003662,-0.017700
0.003650,0.000000,-0.014648,-0.020599
0.003700,0.000000,0.004883,-0.007935
0.003750,0.000000,0.001221,0.018463
0.003800,0.000000,-0.008545,0.001831
0.003850,0.000000,-0.009766,-0.008850
0.003900,0.000000,0.003052,-0.015106
0.003950,0.000000,-0.003052,-0.004120
0.004000,0.000000,0.012817,-0.005646
0.004050,0.000000,-0.004272,0.003357
0.004100,0.000000,0.010376,-0.006866
0.004150,0.000000,0.000000,-0.002289
0.004200,0.000000,0.009766,-0.012665
0.004250,0.000000,0.006104,-0.024719
0.004300,0.000000,0.010376,-0.010834
0.004350,0.000000,0.020142,-0.021362
0.004400,0.000000,0.004883,-0.020142
0.004450,0.000000,-0.004272,-0.024872
0.004500,0.000000,-0.006104,-0.018463
0.004550,0.000000,-0.006714,-0.023804
0.004600,0.000000,-0.004272,-0.002747
0.004650,0.000000,0.007324,-0.027924
0.004700,0.000000,-0.005493,-0.025940
0.004750,0.000000,-0.001221,0.003052
0.004800,0.000000,0.004272,-0.017090
0.004850,0.000000,0.012207,-0.008392
0.004900,0.000000,-0.001221,-0.029297
0.004950,0.000000,0.004883,-0.007782
0.005000,0.000000,0.000000,-0.017853
0.005050,0.000000,0.003052,-0.024414
0.005100,0.000000,-0.007935,0.000916
0.005150,0.000000,0.012817,0.007477
0.005200,0.000000,0.016479,-0.005035
0.005250,0.000000,-0.008545,-0.000610
0.005300,0.000000,0.008545,0.000305
0.005350,0.000000,0.015259,-0.006409
0.005400,0.000000,0.002441,0.001068
0.005450,0.000000,0.009766,-0.018311
0.005500,0.000000,0.009155,-0.003052
0.005550,0.000000,0.012817,-0.016937
0.005600,0.000000,0.004272,-0.000153
0.005650,0.000000,0.004272,-0.021667
0.005700,0.000000,-0.005493,0.004120
0.005750,0.000000,0.001221,0.002136
0.005800,0.000000,0.002441,-0.035095
0.005850,0.000000,0.000000,-0.006104
0.005900,0.000000,-0.006714,-0.007019
0.005950,0.000000,0.007324,-0.010071
0.006000,0.000000,-0.007324,-0.011902
0.006050,0.000000,-0.005493,-0.007019
0.006100,0.000000,0.009766,0.002441
0.006150,0.000000,-0.009155,-0.014038
0.006200,0.000000,-0.003052,-0.012665
0.006250,0.000000,-0.000610,-0.004730
0.006300,0.000000,0.008545,-0.016785
0.006350,0.000000,-0.011597,-0.004578
0.006400,0.000000,0.002441,-0.012207
0.006450,0.000000,0.003052,-0.010681
0.006500,0.000000,-0.009155,0.003052
0.006550,0.000000,0.003662,-0.011292
0.006600,0.000000,0.006714,-0.012665
0.006650,0.000000,-0.009155,-0.004578
0.006700,0.000000,0.004883,-0.004730
0.006750,0.000000,0.014648,-0.016174
0.006800,0.000000,0.005493,-0.009918
0.006850,0.000000,-0.007324,-0.034637
0.006900,0.000000,0.006714,-0.013885
0.006950,0.000000,0.005493,-0.004425
0.007000,0.000000,-0.018921,0.005951
0.007050,0.000000,0.000610,-0.027008
0.007100,0.000000,-0.000610,-0.013885
0.007150,0.000000,-0.006714,-0.014801
0.007200,0.000000,0.011597,-0.022583
0.007250,0.000000,0.000000,-0.032654
0.007300,0.000000,-0.017090,-0.007782
0.007350,0.000000,-0.007324,-0.000916
0.007400,0.000000,-0.006104,-0.012665
0.007450,0.000000,0.005493,-0.035248
0.007500,0.000000,-0.000610,-0.015106
0.007550,0.000000,0.004883,-0.007629
0.007600,0.000000,-0.002441,0.013275
0.007650,0.000000,0.002441,-0.016632
0.007700,0.000000,-0.001221,-0.000305
0.007750,0.000000,-0.004272,-0.011444
0.007800,0.000000,-0.003052,-0.021973
0.007850,0.000000,0.008545,-0.017853
0.007900,0.000000,0.011597,-0.014801
0.007950,0.000000,-0.005493,-0.019989
0.008000,0.000000,0.007935,-0.019684
0.008050,0.000000,0.000000,0.022736
0.008100,0.000000,0.007935,-0.005341
0.008150,0.000000,0.003052,-0.013733
0.008200,0.000000,-0.005493,-0.002136
0.008250,0.000000,-0.000610,-0.008087
0.008300,0.000000,0.002441,-0.008087
0.008350,0.000000,-0.001831,0.011444
0.008400,0.000000,0.018921,-0.000458
0.008450,0.000000,0.003052,0.000610
0.008500,0.000000,0.008545,-0.005188
0.008550,0.000000,-0.001831,-0.007477
0.008600,0.000000,-0.009766,-0.016937
0.008650,0.000000,-0.010986,-0.005951
0.008700,0.000000,-0.001831,-0.019073
0.008750,0.000000,0.003662,-0.010223
0.008800,0.000000,-0.004883,-0.010376
0.008850,0.000000,-0.014648,-0.007477
0.008900,0.000000,0.009766,-0.019073
0.008950,0.000000,0.017700,-0.007477
0.009000,0.000000,0.004272,0.004730
0.009050,0.000000,-0.005493,-0.010376
0.009100,0.000000,-0.001221,0.000458
0.009150,0.000000,0.006714,-0.011749
0.009200,0.000000,0.011597,-0.009918
0.009250,0.000000,0.000610,0.004730
0.009300,0.000000,0.009766,-0.009918
0.009350,0.000000,0.017700,-0.008240
0.009400,0.000000,-0.001831,-0.016785
0.009450,0.000000,0.000610,-0.005035
0.009500,0.000000,-0.006714,-0.022583
0.009550,0.000000,0.007935,0.012817
0.009600,0.000000,-0.000610,-0.009918
